ID
    US10787400B2
citation_exist
    Patent Citations (518)
citation_infor
520
    Publication number,Priority date,Publication date,Assignee,Title
    USRE31010E,1979-04-09,1982-08-10,Chem Systems Inc.,Preparation of carboxylic acid esters with BF3 complex catalyst
    US4347392A,1979-06-08,1982-08-31,Institut Francais Du Petrole,Process for the selective hydrogenation of a hydrocarbon fraction with 2 or 3 carbon atoms per molecule
    US4367353A,1977-12-21,1983-01-04,Imperial Chemical Industries Limited,Catalytic hydrogenation and purification
    US4370156A,1981-05-29,1983-01-25,Standard Oil Company (Indiana),Process for separating relatively pure fractions of methane and carbon dioxide from gas mixtures
    US4375566A,1978-11-14,1983-03-01,Mitsui Toatsu Chemicals, Inc.,Process for producing ortho-alkylated phenols from anisoles
    US4394303A,1981-05-12,1983-07-19,Chevron Research Company,Large pore shaped hydroprocessing catalysts
    US4433185A,1983-04-04,1984-02-21,Mobil Oil Corporation,Two stage system for catalytic conversion of olefins with distillate and gasoline modes
    US4439213A,1981-12-30,1984-03-27,The C. M. Kemp Manufacturing Co.,Nitrogen generation system
    US4440956A,1982-10-25,1984-04-03,The Dow Chemical Company,Selective hydrogenation of acetylenes in the presence of butadiene and catalyst used in the hydrogenation
    EP0106392A1,1982-10-20,1984-04-25,Stone & Webster Engineering Corporation,Process for the production of aromatics, benzene, toluene, xylene (BTX) from heavy hydrocarbons
    US4465887A,1983-06-27,1984-08-14,Standard Oil Company (Indiana),Process for producing butylene polymers having molecular weights in the range of from about 400 to 5000 molecular weight
    US4469905A,1981-11-04,1984-09-04,Union Oil Company Of California,Process for producing and extracting C2 to C6 alcohols
    US4481305A,1982-09-07,1984-11-06,Haldor Topsoe A/S,Process for the preparation of hydrocarbons
    US4489215A,1984-04-16,1984-12-18,Atlantic Richfield Company,Methane conversion
    US4511747A,1984-02-01,1985-04-16,Mobil Oil Corporation,Light olefin conversion to heavier hydrocarbons with sorption recovery of unreacted olefin vapor
    DE3406751A1,1982-10-07,1985-08-29,Baerns, Manfred, Prof. Dr., 4630 Bochum,Process for the oxidative coupling of methane to C2-hydrocarbons, process for the preparation of the catalysts and arrangements for carrying out the oxidative coupling
    US4551438A,1984-04-11,1985-11-05,Chevron Research Company,Oligomerization of liquid olefin over a nickel-containing silicaceous crystalline molecular sieve and hydrocarbyl aluminum halide
    US4552644A,1982-09-30,1985-11-12,Stone & Webster Engineering Corporation,Duocracking process for the production of olefins from both heavy and light hydrocarbons
    US4554395A,1982-08-30,1985-11-19,Atlantic Richfield Company,Methane conversion
    US4567307A,1982-08-30,1986-01-28,Atlantic Richfield Company,Two-step methane conversion process
    EP0177327A2,1984-10-02,1986-04-09,The Standard Oil Company,Upgrading low molecular weight alkanes
    US4605488A,1984-05-03,1986-08-12,Mobil Oil Corporation,Catalytic dewaxing of light and heavy oils in dual parallel reactors
    US4629718A,1982-08-30,1986-12-16,Atlantic Richfield Company,Alkali promoted manganese oxide compositions containing silica and/or alkaline earth oxides
    WO1986007351A1,1985-06-14,1986-12-18,W. R. Grace & Co.,Method and catalyst for the conversion of methane
    US4673664A,1985-10-07,1987-06-16,American Cyanamid Company,Shape for extruded catalyst support particles and catalysts
    GB2191212A,1986-06-05,1987-12-09,British Petroleum Co Plc,Integrated process for the production of liquid hydrocarbons from methane
    FR2600556A1                      *,1986-06-27,1987-12-31,Rhone Poulenc Chim Base,New catalyst based on nickel and/or cobalt, its preparation and its use for the production of methane
    US4717782A,1985-09-13,1988-01-05,Mobil Oil Corporation,Catalytic process for oligomerizing ethene
    EP0253522A2,1986-06-23,1988-01-20,Atlantic Richfield Company,Boron-promoted reducible metal oxide and methods for their use
    US4751336A,1985-02-28,1988-06-14,Amoco Corporation,Conversion of a lower alkane
    US4754093A,1985-02-28,1988-06-28,Amoco Corporation,Conversion of a lower alkane
    US4754091A,1985-02-28,1988-06-28,Amoco Corporation,Conversion of a lower alkane
    US4769047A,1987-06-29,1988-09-06,Shell Oil Company,Process for the production of ethylene oxide
    EP0303438A2,1987-08-14,1989-02-15,DAVY McKEE CORPORATION,Production of synthesis gas from hydrocarbonaceous feedstock
    US4814539A,1985-02-28,1989-03-21,Amoco Corporation,Conversion of a lower alkane
    US4822944A,1986-07-11,1989-04-18,The Standard Oil Company,Energy efficient process for upgrading light hydrocarbons and novel oxidative coupling catalysts
    US4822477A,1987-06-11,1989-04-18,Mobil Oil Corporation,Integrated process for gasoline production
    US4831203A,1987-12-16,1989-05-16,Mobil Oil Corporation,Integrated production of gasoline from light olefins in a fluid cracking process plant
    US4835331A,1988-05-23,1989-05-30,Uop,Process for the oligomerization of olefinic hydrocarbons
    US4849571A,1988-05-20,1989-07-18,Atlantic Richfield Company,Hydrocarbon production
    US4855528A,1988-02-05,1989-08-08,Exxon Chemical Patents Inc.,Catalysts and process for oligomerization of olefins with nickel-containing zeolite catalysts
    US4855524A,1987-11-10,1989-08-08,Mobil Oil Corporation,Process for combining the operation of oligomerization reactors containing a zeolite oligomerization catalyst
    US4861934A,1986-01-09,1989-08-29,Research Association For Utilization Of Light Oil,Production of high-octane gas blending stock
    EP0336823A1,1988-04-05,1989-10-11,Institut Français du Pétrole,Process for the production of olefines from natural gas
    US4882400A,1987-07-31,1989-11-21,Bp Chemicals Limited,Process for gas phase polymerization of olefins in a fluidized bed reactor
    US4891457A,1985-09-13,1990-01-02,Hartley Owen,Multistage process for converting olefins to heavier hydrocarbons
    US4895823A,1985-03-19,1990-01-23,Phillips Petroleum Company,Composition of matter for oxidative conversion of organic compounds
    US4900347A,1989-04-05,1990-02-13,Mobil Corporation,Cryogenic separation of gaseous mixtures
    US4935568A,1988-12-05,1990-06-19,Mobil Oil Corporation,Multistage process for oxygenate conversion to hydrocarbons
    US4939312A,1985-09-27,1990-07-03,Manfred Baerns,Continuous process for the oxidative coupling of methane to C2+ hydrocarbons in the presence of catalysts
    US4939311A,1988-08-17,1990-07-03,Amoco Corporation,Catalysts for the oxidative conversion of methane to higher hydrocarbons
    US4950311A,1988-03-07,1990-08-21,White Jr Donald H,Heaterless adsorption system for combined purification and fractionation of air
    US4962261A,1988-06-20,1990-10-09,Uop,Process for upgrading methane to higher carbon number hydrocarbons
    US4966874A,1988-05-18,1990-10-30,Exxon Chemical Patents Inc.,Process for preparing linear alpha-olefins using zirconium adducts as catalysts
    US5003124A,1982-11-17,1991-03-26,Chemical Research & Licensing Company,Oligomerization process
    US5004852A,1989-08-24,1991-04-02,Mobil Oil Corp.,Two-stage process for conversion of olefins to high octane gasoline
    US5012028A                      *,1986-07-11,1991-04-30,The Standard Oil Company,Process for upgrading light hydrocarbons using oxidative coupling and pyrolysis
    US5015799A,1989-07-06,1991-05-14,Amoco Corporation,Oxidative coupling process for converting methane and/or natural gas to more transportable products
    US5024984A,1988-08-17,1991-06-18,Amoco Corporation,Catalysts for the oxidative conversion of methane to higher hydrocarbons
    US5034565A,1988-09-26,1991-07-23,Mobil Oil Corporation,Production of gasoline from light olefins in a fluidized catalyst reactor system
    US5041405A,1990-02-22,1991-08-20,The Texas A & M University System,Lithium/magnesium oxide catalyst and method of making
    DE4039960A1,1990-03-23,1991-09-26,Hoechst Ag,1,2-di:chloroethane prodn. - by reaction of chlorine and ethylene in di:chloro-ethane circulating in specified reactor-condenser system
    US5055627A,1985-01-07,1991-10-08,Chemical Research & Licensing Company,Process for the preparation of cumene
    US5057468A,1990-05-21,1991-10-15,Chemical Research & Licensing Company,Catalytic distillation structure
    US5057638A,1990-06-22,1991-10-15,Chevron Research And Technology Company,Process for making 1-hexene from 1-butene
    US5066629A,1989-06-30,1991-11-19,The Broken Hill Proprietary Company Limited,Oxidative coupling catalyst for methane
    US5080872A,1985-09-26,1992-01-14,Amoco Corporation,Temperature regulating reactor apparatus and method
    US5082819A,1989-09-13,1992-01-21,Degussa Aktiengesellschaft,Catalyst for catalytic gas phase oxidation of olefins into unsaturated aldehydes and method for making the catalyst
    US5118898A,1989-06-30,1992-06-02,The Broken Hill Proprietary Company Limited,Process for the production of olefins by combined methane oxidative coupling/hydrocarbon pyrolysis
    US5132472A,1990-10-17,1992-07-21,Sun Refining And Marketing Company,Catalytic oxidation of alkanes
    US5137862A,1990-08-22,1992-08-11,Imperial Chemical Industries Plc,Oxidation catalysts
    CA2041874A1,1990-01-09,1992-11-07,Richard T. Maurer,Separation of Ethane from Methane by Pressure Swing Adsorption
    US5168090A,1990-10-04,1992-12-01,Monsanto Company,Shaped oxidation catalyst structures for the production of maleic anhydride
    US5179056A,1991-05-06,1993-01-12,Union Carbide Chemicals & Plastics Technology Corporation,Production of alkenyl alkanoate catalysts
    US5196634A,1991-10-11,1993-03-23,Amoco Corporation,Hydrocarbon conversion
    US5198596A,1991-10-11,1993-03-30,Amoco Corporation,Hydrocarbon conversion
    US5240474A,1991-01-23,1993-08-31,Air Products And Chemicals, Inc.,Air separation by pressure swing adsorption with a high capacity carbon molecular sieve
    US5254781A,1991-12-31,1993-10-19,Amoco Corporation,Olefins process which combines hydrocarbon cracking with coupling methane
    US5263998A,1990-08-22,1993-11-23,Imperial Chemical Industries Plc,Catalysts
    US5288935A,1991-05-21,1994-02-22,Institut Francais Du Petrole,Method of producing liquid hydrocarbons from natural gas, in the presence of a catalyst based on zeolite and gallium
    US5292979A,1990-12-04,1994-03-08,Institut Francais Du Petrole,Method for converting ethylene into light alpha olefins
    US5306854A,1992-07-10,1994-04-26,Council Of Scientific & Industrial Research,Two step process for production of liquid hydrocarbons from natural gas
    US5316995A,1991-10-11,1994-05-31,Amoco Corporation,Hydrocarbon conversion catalyst
    US5326915A,1992-10-06,1994-07-05,Montecatini Tecnologie S.P.A.,Catalyst granules, in particular for the oxidative dehydrogenation of methanol in order to yield formaldehyde
    EP0608447A1,1993-01-19,1994-08-03,Phillips Petroleum Company,Process for the preparation of a catalyst for olefin polymerization
    US5336826A,1986-01-07,1994-08-09,The British Petroleum Company P.L.C.,Oxidation of methane over heterogeneous catalysts
    US5336825A,1992-07-10,1994-08-09,Council Of Scientific & Industrial Research,Integrated two step process for conversion of methane to liquid hydrocarbons of gasoline range
    US5345023A,1992-07-09,1994-09-06,Institut Francais Du Petrole,Process for the production of light alpha olefins by oligomerization of ethylene
    US5348642A,1991-05-02,1994-09-20,Exxon Research Engineering Co.,Catalytic cracking process with circulation of hot, regenerated catalyst to the stripping zone
    US5371306A,1992-12-31,1994-12-06,Korea Advanced Institute Of Science And Technology,Modified magnesium oxide catalyst
    EP0634211A1,1993-07-16,1995-01-18,Texaco Development Corporation,Oxidative coupling of methane on manganese oxide octahedral molecular sieve catalyst
    US5395981A,1992-06-22,1995-03-07,Uop,Hydrocarbon conversion by catalytic distillation
    DE4338414C1,1993-11-10,1995-03-16,Linde Ag,Process for the preparation of linear olefins
    DE4338416C1,1993-11-10,1995-04-27,Linde Ag,Soluble catalyst for the preparation of linear  alpha -olefins by oligomerisation of ethylene
    US5414170A,1993-05-12,1995-05-09,Stone & Webster Engineering Corporation,Mixed phase front end C2 acetylene hydrogenation
    US5414157A,1990-10-17,1995-05-09,Sun Company, Inc. (R&M),Catalytic oxidation of alkanes
    US5430219A,1992-10-01,1995-07-04,Snamprogetti S.P.A.,Integrated process for producing olefins from methane-containing gas mixtures
    US5449850A,1991-03-12,1995-09-12,Exxon Chemical Patents Inc.,Process for oligomerizing C3 and higher olefins using zirconium adducts as catalysts (CS-467)
    US5462583A,1994-03-04,1995-10-31,Advanced Extraction Technologies, Inc.,Absorption process without external solvent
    US5473027A,1986-06-20,1995-12-05,Chevron Chemical Company,Production of blow molding polyethylene resin
    US5500149A,1990-12-24,1996-03-19,British Gas Plc,Processes for the conversion of methane to synthesis gas
    US5523493A,1993-10-15,1996-06-04,Institut Francais Du Petrole,Process for the production of at least one alkyl tertiobutyl ether from natural gas
    EP0722822A1,1994-07-15,1996-07-24,Idemitsu Petrochemical Co., Ltd.,Highly rigid polypropylene resin and blow molding product made therefrom
    US5568737A,1994-11-10,1996-10-29,Elcor Corporation,Hydrocarbon gas processing
    US5599510A,1991-12-31,1997-02-04,Amoco Corporation,Catalytic wall reactors and use of catalytic wall reactors for methane coupling and hydrocarbon cracking reactions
    EP0761307A1,1995-09-12,1997-03-12,Basf Aktiengesellschaft,Monomodal and polymodal catalyst supports and catalysts with a narrow pore size distribution and method for producing the same
    EP0764467A1,1995-09-12,1997-03-26,Basf Aktiengesellschaft,Narrow pore size distribution monomodal and polymodal catalysts and catalyst carriers, and their manufacture
    US5633422A,1993-12-29,1997-05-27,Shell Oil Company,Process for isomerizing linear olefins to isoolefins
    US5659090A,1993-10-15,1997-08-19,Institut Francais Du Petrole,Steps in a process for the production of at least one alkyl tertiobutyl ether from natural gas
    US5670442A,1992-10-30,1997-09-23,Eniricerche S.P.A.,Catalyst for converting methane into higher hydrocarbon products
    USRE35632E,1987-02-13,1997-10-14,Atlantic Richfield Company,Methane conversion process
    US5679241A,1995-05-17,1997-10-21,Abb Lummus Global Inc.,Olefin plant recovery system employing catalytic distillation
    US5702589A,1995-04-27,1997-12-30,Abb Lummus Global Inc.,Process for converting olefinic hydrocarbons using spent FCC catalyst
    US5712217A,1995-06-05,1998-01-27,Council Of Scientific & Industrial Research,Supported catalyst with mixed lanthanum and other rare earth oxides
    US5714657A,1994-03-11,1998-02-03,Devries; Louis,Natural gas conversion to higher hydrocarbons
    US5723713A,1994-12-06,1998-03-03,Bp International Limited,Ethylene conversion process
    US5736107A,1994-12-05,1998-04-07,Japan National Oil Corporation,Apparatus for oxidative coupling of methane
    US5744015A,1987-03-13,1998-04-28,Mazanec; Terry J.,Solid multi-component membranes, electrochemical reactor components, electrochemical reactors and use of membranes, reactor components, and reactor for oxidation reactions
    US5749937A,1995-03-14,1998-05-12,Lockheed Idaho Technologies Company,Fast quench reactor and method
    US5763722A,1992-12-11,1998-06-09,Repsol Petroleo S.A.,Method for the methane chemical conversion into C2 hydrocarbons
    US5792895A,1996-04-26,1998-08-11,Institut Francais Du Petrole,Process for the conversion of ethylene into but-1-ene using additives based on polymethylene glycols and derivatives thereof
    US5811619A,1994-01-14,1998-09-22,Institut Francais Du Petrole,Method of production of improved purity light alpha olefines by ogliomerisation of ethylene
    US5811618A,1991-10-16,1998-09-22,Amoco Corporation,Ethylene trimerization
    US5817904A,1992-12-11,1998-10-06,Repsol Petroleo S.A.,Method for the conversion of methane into longer chain hydrocarbons
    US5817905A,1996-04-26,1998-10-06,Institut Francais Du Petrole,Process for the conversion of ethylene into light alpha olefins with the use of additives based on quaternary ammonium salts
    US5819555A,1995-09-08,1998-10-13,Engdahl; Gerald,Removal of carbon dioxide from a feed stream by carbon dioxide solids separation
    US5830822A,1994-07-01,1998-11-03,Institut Francais Du Petrole,High temperature resistant oxidation catalyst, a process for its preparation and a combustion process using this catalyst
    US5849973A,1992-07-08,1998-12-15,Gas Research Institute,Oxidative coupling catalyst
    US5856257A,1997-05-16,1999-01-05,Phillips Petroleum Company,Olefin production
    US5861353A,1992-10-06,1999-01-19,Montecatini Tecnologie S.R.L.,Catalyst in granular form for 1,2-dichloroethane synthesis
    US5866737A,1996-01-19,1999-02-02,Basf Aktiengesellschaft,Oxidation and oxydehydrogenation of hydrocarbons in the fluidized bed
    US5877368A,1994-10-03,1999-03-02,Sanyo Petrochemical Co., Ltd.,Method for producing aromatic hydrocarbons
    US5877363A,1996-09-23,1999-03-02,Catalytic Distillation Technologies,Process for concurrent selective hydrogenation of acetylenes and 1,2 butadine in hydrocarbon streams
    US5897945A,1996-02-26,1999-04-27,President And Fellows Of Harvard College,Metal oxide nanorods
    US5917136A,1995-10-04,1999-06-29,Air Products And Chemicals, Inc.,Carbon dioxide pressure swing adsorption process using modified alumina adsorbents
    US5936135A,1997-05-02,1999-08-10,Council Of Scientific & Industrial Research,Process for the preparation of hydrocarbons
    US5959170A,1985-05-24,1999-09-28,Atlantic Richfield Company,Methane conversion process
    US6005121A,1991-07-08,1999-12-21,Huntsman Petrochemical Corporation,High productivity process for the production of maleic anhydride
    US6013851A,1995-02-07,2000-01-11,Exxon Chemical Patents, Inc.,Catalyst having a core and surface layer and use of same in olefin oligomerization
    US6020533A,1996-08-23,2000-02-01,Uop Llc,Hydrocarbon conversion processes using crystalline manganese phosphate compositions
    US6030598A,1997-06-11,2000-02-29,Air Products And Chemicals, Inc.,Process for producing a gaseous product
    US6031145A,1997-06-17,2000-02-29,Institut Francais Du Petrole,Catalytic composition and process for oligomerising ethylene in particular to 1-butene and/or 1-hexene
    US6096934A,1998-12-09,2000-08-01,Uop Llc,Oxidative coupling of methane with carbon conservation
    US6103654A,1997-02-25,2000-08-15,Institut Francais Du Petrole,Catalytic composition and a process for converting ethylene to light alpha olefins
    US6110979A,1997-12-23,2000-08-29,Air Products And Chemicals, Inc.,Utilization of synthesis gas produced by mixed conducting membranes
    US6114400A,1998-09-21,2000-09-05,Air Products And Chemicals, Inc.,Synthesis gas production by mixed conducting membranes with integrated conversion into liquid products
    US6140535A,1996-12-19,2000-10-31,Bp Chemicals Limited,Iridium-catalyzed carbonylation process for the production of acetic acid
    US6146549A,1999-08-04,2000-11-14,Eltron Research, Inc.,Ceramic membranes for catalytic membrane reactors with high ionic conductivities and low expansion properties
    US6153149A,1997-08-06,2000-11-28,The Trustees Of Princeton University,Adaptive feedback control flow reactor
    EP1110930A1,1999-12-24,2001-06-27,Institut Francais Du Petrole,Catalytic composition and process for the oligomerisation of ethylene, to primarily 1-hexene
    US6328945B1,1995-04-10,2001-12-11,Air Products And Chemicals, Inc.,Integrated steam methane reforming process for producing carbon monoxide
    US20020007101A1,1999-10-04,2002-01-17,Senetar John J.,Process for producing ethylene
    WO2002004119A1,2000-07-11,2002-01-17,Bp Chemicals Limited,Olefin trimerisation using a catalyst comprising a source of chromium, molybdenum or tungsten and a ligand containing at least one phosphorous, arsenic or antimony atom bound to at least one (hetero)hydrocarbyl group
    US6342149B1,1998-03-05,2002-01-29,Forschungszentrum Karlsruhe,Method for carboxylating terminal alkynes
    US20020015670A1,1997-10-08,2002-02-07,Rashmi K. Shah,Flameless combustor process heater
    US6355093B1,1993-12-08,2002-03-12,Eltron Research, Inc,Two component-three dimensional catalysis
    US6380451B1,1999-12-29,2002-04-30,Phillips Petroleum Company,Methods for restoring the heat transfer coefficient of an oligomerization reactor
    US6403523B1,2000-09-18,2002-06-11,Union Carbide Chemicals & Plastics Technology Corporation,Catalysts for the oxidative dehydrogenation of hydrocarbons
    US6447745B1,2000-08-01,2002-09-10,Exxonmobil Research And Engineering Company,Catalytic oxidation process
    US6455015B1,2000-02-16,2002-09-24,Uop Llc,Fluid-solid contacting chambers having multi-conduit, multi-nozzle fluid distribution
    US20020150522A1,2001-02-12,2002-10-17,Heim Carl Joseph,Method and apparatus for purifying carbon dioxide feed streams
    US6468501B1,2000-09-14,2002-10-22,Chevrontexaco Corporation,Method for heteroatom lattice substitution in large and extra-large pore borosilicate zeolites
    US6486373B1,1996-11-05,2002-11-26,Mobil Oil Corporation,Shape selective zeolite catalyst and its use in aromatic compound conversion
    US20020182735A1,2000-08-14,2002-12-05,Kibby Charles L.,Use of microchannel reactors in combinatorial chemistry
    US6492571B1,1999-07-22,2002-12-10,China Petroleum Corporation,Process for alkylation of isoparaffin with olefin
    US6509292B1,2001-03-30,2003-01-21,Sud-Chemie Inc.,Process for selective hydrogenation of acetylene in an ethylene purification process
    US6518220B2,2000-02-25,2003-02-11,Basf Aktiengesellschaft,Shaped catalysts
    US6518476B1,2000-09-18,2003-02-11,Union Carbide Chemicals & Plastics Technology Corporation,Methods for manufacturing olefins from lower alkans by oxidative dehydrogenation
    US20030033932A1,2001-07-20,2003-02-20,Sirkar Kamalesh K.,Membrane separation of carbon dioxide
    US20030045761A1,2000-07-13,2003-03-06,Kuechler Keith H.,Production of olefin derivatives
    CN1403375A,2002-10-11,2003-03-19,清华大学,Synthesis process of nanostring and nanopowder of RE hydroxide or oxide
    US6538169B1,2000-11-13,2003-03-25,Uop Llc,FCC process with improved yield of light olefins
    US20030072700A1,2001-10-15,2003-04-17,Goebel Steven G,Reactor system including auto ignition and carbon suppression foam
    US20030094398A1,2001-11-16,2003-05-22,Porter Rodney L.,Process to produce a dilute ethylene stream an a dilute propylene stream
    US6596912B1,2000-05-24,2003-07-22,The Texas A&M University System,Conversion of methane to C4+ aliphatic products in high yields using an integrated recycle reactor system
    US6610124B1,2002-03-12,2003-08-26,Engelhard Corporation,Heavy hydrocarbon recovery from pressure swing adsorption unit tail gas
    US20030189202A1,2002-04-05,2003-10-09,Jun Li,Nanowire devices and methods of fabrication
    US6660894B1,2000-11-21,2003-12-09,Phillips Petroleum Company,Process for upgrading an oligomerization product
    US20030233019A1,2002-03-19,2003-12-18,Sherwood Steven P.,Gas to liquid conversion process
    US6683019B2,2001-06-13,2004-01-27,Abb Lummus Global Inc.,Catalyst for the metathesis of olefin(s)
    US6703429B2,2001-08-23,2004-03-09,Chevron U.S.A. Inc.,Process for converting synthesis gas into hydrocarbonaceous products
    US6713657B2,2002-04-04,2004-03-30,Chevron U.S.A. Inc.,Condensation of olefins in fischer tropsch tail gas
    WO2004033488A2,2002-09-18,2004-04-22,Board Of Regents, University Of Texas System,Peptide mediated synthesis of metallic and magnetic materials
    US6726832B1,2000-08-15,2004-04-27,Abb Lummus Global Inc.,Multiple stage catalyst bed hydrocracking with interstage feeds
    US6726850B1,2000-01-14,2004-04-27,Sebastian C. Reyes,Catalytic partial oxidation using staged oxygen addition
    US6730808B2,1999-12-10,2004-05-04,Basf Aktiengesellschaft,Oxidative reactions using membranes that selectively conduct oxygen
    US6747066B2,2002-01-31,2004-06-08,Conocophillips Company,Selective removal of oxygen from syngas
    US6759562B2,2002-07-24,2004-07-06,Abb Lummus Global Inc.,Olefin plant recovery system employing a combination of catalytic distillation and fixed bed catalytic steps
    WO2004056479A1,2002-12-20,2004-07-08,Sasol Technology (Pty) Ltd,Tetramerization of olefins
    US6761838B2,1998-10-20,2004-07-13,The Boc Group, Inc.,Cyclic autothermal hydrocarbon reforming process
    US6764602B2,2001-11-29,2004-07-20,Exxonmobil Chemical Patents Inc.,Process of removing oxygenated contaminants from an olefin composition
    US6768035B2,2002-01-31,2004-07-27,Chevron U.S.A. Inc.,Manufacture of high octane alkylate
    US20040158113A1,2003-02-06,2004-08-12,Girish Srinivas,Catalysts and process for converting fuel gases to gasoline
    US20040220053A1,2003-04-29,2004-11-04,Hrd Corp.,Preparation of catalyst and use for high yield conversion of methane to ethylene
    US6821500B2,1995-03-14,2004-11-23,Bechtel Bwxt Idaho, Llc,Thermal synthesis apparatus and process
    US20040231586A1,2001-09-19,2004-11-25,Jacques Dugue,Method and device for mixing two reactant gases
