ID
    US11286939B2
citation_exist
    Patent Citations (596)
citation_infor
598
    Publication number,Priority date,Publication date,Assignee,Title
    US2368962A,1941-06-13,1945-02-06,Byron Jackson Co,Centrifugal pump
    US2382424A,1942-09-11,1945-08-14,Kinser Vernon,Steering stabilizer
    US2423655A,1944-06-05,1947-07-08,Mars Albert,Pipe coupling or joint
    US2488447A,1948-03-12,1949-11-15,Glenn M Tangen,Amalgamator
    US2493467A,1947-12-15,1950-01-03,Sunnen Joseph,Pump for cutting oil
    US2515097A,1946-04-10,1950-07-11,Extended Surface Division Of D,Apparatus for feeding flux and solder
    US2515478A,1944-11-15,1950-07-18,Owens Corning Fiberglass Corp,Apparatus for increasing the homogeneity of molten glass
    US2528208A,1946-07-12,1950-10-31,Walter M Weil,Process of smelting metals
    US2528210A,1946-12-06,1950-10-31,Walter M Weil,Pump
    US2543633A,1945-12-06,1951-02-27,Hanna Coal & Ore Corp,Rotary pump
    US2566892A,1949-09-17,1951-09-04,Gen Electric,Turbine type pump for hydraulic governing systems
    US2625720A,1949-12-16,1953-01-20,Internat Newspaper Supply Corp,Pump for type casting
    US2626086A,1950-06-14,1953-01-20,Allis Chalmers Mfg Co,Pumping apparatus
    US2676279A,1949-05-26,1954-04-20,Allis Chalmers Mfg Co,Large capacity generator shaft coupling
    US2677609A,1950-08-15,1954-05-04,Meehanite Metal Corp,Method and apparatus for metallurgical alloy additions
    US2698583A,1951-12-26,1955-01-04,Bennie L House,Portable relift pump
    US2714354A,1952-09-08,1955-08-02,Orrin E Farrand,Pump
    US2762095A,1952-05-26,1956-09-11,Pemetzrieder Georg,Apparatus for casting with rotating crucible
    US2768587A,1952-01-02,1956-10-30,Du Pont,Light metal pump
    US2775348A,1953-09-30,1956-12-25,Taco Heaters Inc,Filter with backwash cleaning
    US2779574A,1955-01-07,1957-01-29,Schneider Joachim,Mixing or stirring devices
    US2787873A,1954-12-23,1957-04-09,Clarence E Hadley,Extension shaft for grinding motors
    US2809107A,1953-12-22,1957-10-08,Aluminum Co Of America,Method of degassing molten metals
    US2808782A,1953-08-31,1957-10-08,Galigher Company,Corrosion and abrasion resistant sump pump for slurries
    US2821472A,1955-04-18,1958-01-28,Kaiser Aluminium Chem Corp,Method for fluxing molten light metals prior to the continuous casting thereof
    US2824520A,1952-11-10,1958-02-25,Henning G Bartels,Device for increasing the pressure or the speed of a fluid flowing within a pipe-line
    US2832292A,1955-03-23,1958-04-29,Edwards Miles Lowell,Pump assemblies
    US2839006A,1956-07-12,1958-06-17,Kellogg M W Co,Pumps for high vapor pressure liquids
    US2853019A,1954-09-01,1958-09-23,New York Air Brake Co,Balanced single passage impeller pump
    US2865295A,1950-09-13,1958-12-23,Laing Nikolaus,Portable pump apparatus
    US2865618A,1956-01-30,1958-12-23,Arthur S Abell,Water aerator
    US2868132A,1952-04-24,1959-01-13,Laing Nikolaus,Tank-pump
    US2901677A,1956-02-24,1959-08-25,Hunt Valve Company,Solenoid mounting
    US2901006A,1958-01-23,1959-08-25,United States Steel Corp,Vacuum bailing boat particularly for baths of molten metal
    US2906632A,1957-09-10,1959-09-29,Union Carbide Corp,Oxidation resistant articles
    US2918876A,1956-03-01,1959-12-29,Velma Rea Howe,Convertible submersible pump
    US2948524A,1957-02-18,1960-08-09,Metal Pumping Services Inc,Pump for molten metal
    US2958293A,1955-02-25,1960-11-01,Western Machinery Company,Solids pump
    US2966345A                      *,1958-01-21,1960-12-27,Yeomans Brothers Co,Mixing apparatus
    US2966381A,1958-01-09,1960-12-27,Donald H Menzel,High temperature bearing and the like
    US2978885A,1960-01-18,1961-04-11,Orenda Engines Ltd,Rotary output assemblies
    US2984524A,1957-04-15,1961-05-16,Kelsey Hayes Co,Road wheel with vulcanized wear ring
    US2987885A,1957-07-26,1961-06-13,Power Jets Res & Dev Ltd,Regenerative heat exchangers
    US3010402A,1959-03-09,1961-11-28,Krogh Pump Company,Open-case pump
    US3015190A,1952-10-13,1962-01-02,Cie De Saint Gobain Soc,Apparatus and method for circulating molten glass
    US3039864A,1958-11-21,1962-06-19,Aluminum Co Of America,Treatment of molten light metals
    US3044408A,1961-01-06,1962-07-17,James A Dingus,Rotary pump
    US3048384A,1959-12-08,1962-08-07,Metal Pumping Services Inc,Pump for molten metal
    US3070393A,1956-08-08,1962-12-25,Deere & Co,Coupling for power take off shaft
    US3092030A,1961-07-10,1963-06-04,Gen Motors Corp,Pump
    US3099870A,1961-10-02,1963-08-06,Henry W Seeler,Quick release mechanism
    GB942648A,1961-06-27,1963-11-27,Sulzer Ag,Centrifugal pumps
    CA683469A,,1964-03-31,O. Christensen Einar,Electric motor driven liquid pump
    US3128327A,1962-04-02,1964-04-07,Upton Electric Furnace Company,Metal melting furnace
    US3130678A,1961-04-28,1964-04-28,William F Chenault,Centrifugal pump
    US3130679A,1962-12-07,1964-04-28,Allis Chalmers Mfg Co,Nonclogging centrifugal pump
    US3151565A,1962-09-04,1964-10-06,Minnesota Automotive Inc,Pump
    US3171357A,1961-02-27,1965-03-02,Egger & Co,Pump
    US3172850A,1960-12-12,1965-03-09,,Integral immersible filter and pump assembly
    CH392268A,1961-02-13,1965-05-15,Lyon Nicoll Limited,Centrifugal circulation pump
    US3203182A,1963-04-03,1965-08-31,Lothar L Pohl,Transverse flow turbines
    US3227547A,1961-11-24,1966-01-04,Union Carbide Corp,Degassing molten metals
    US3244109A,1963-07-19,1966-04-05,Barske Ulrich Max Willi,Centrifugal pumps
    US3251676A,1962-08-16,1966-05-17,Arthur F Johnson,Aluminum production
    US3255702A,1964-02-27,1966-06-14,Molten Metal Systems Inc,Hot liquid metal pumps
    US3258283A,1963-10-07,1966-06-28,Robbins & Assoc James S,Drilling shaft coupling having pin securing means
    US3272619A,1963-07-23,1966-09-13,Metal Pumping Services Inc,Apparatus and process for adding solids to a liquid
    US3289473A,1964-07-14,1966-12-06,Zd Y V I Plzen Narodni Podnik,Tension measuring apparatus
    US3291473A,1963-02-06,1966-12-13,Metal Pumping Services Inc,Non-clogging pumps
    US3368805A,1965-12-20,1968-02-13,Broken Hill Ass Smelter,Apparatus for copper drossing of lead bullion
    US3374943A,1966-08-15,1968-03-26,Kenneth G Cervenka,Rotary gas compressor
    US3400923A,1964-05-15,1968-09-10,Aluminium Lab Ltd,Apparatus for separation of materials from liquid
    US3417929A,1966-02-08,1968-12-24,Secrest Mfg Company,Comminuting pumps
    US3432336A,1964-08-25,1969-03-11,North American Rockwell,Impregnation of graphite with refractory carbides
    US3459346A,1966-10-18,1969-08-05,Metacon Ag,Molten metal pouring spout
    US3459133A,1967-01-23,1969-08-05,Westinghouse Electric Corp,Controllable flow pump
    US3477383A,1967-03-28,1969-11-11,English Electric Co Ltd,Centrifugal pumps
    DE1800446A1,1968-02-16,1969-12-11,Brevets Metallurgiques,Centrifugal pump for immersion, especially for pumping corrosive fluids at high temperatures
    US3487805A,1966-12-22,1970-01-06,Satterthwaite James G,Peripheral journal propeller drive
    GB1185314A,1967-04-24,1970-03-25,Speedwell Res Ltd,Improvements in or relating to Centrifugal Pumps.
    US3512788A,1967-11-01,1970-05-19,Allis Chalmers Mfg Co,Self-adjusting wearing rings
    US3512762A,1967-08-11,1970-05-19,Ajem Lab Inc,Apparatus for liquid aeration
    US3532445A,1968-09-20,1970-10-06,Westinghouse Electric Corp,Multirange pump
    US3561885A,1969-08-11,1971-02-09,Pyronics Inc,Blower housing
    US3575525A,1968-11-18,1971-04-20,Westinghouse Electric Corp,Pump structure with conical shaped inlet portion
    US3581767A,1969-07-01,1971-06-01,Dow Chemical Co,Coupling means for connecting molten metal transporting lines
    US3612715A,1969-11-19,1971-10-12,Worthington Corp,Pump for molten metal and other high-temperature corrosive liquids
    US3618917A,1969-02-20,1971-11-09,Asea Ab,Channel-type induction furnace
    US3620716A,1969-05-27,1971-11-16,Aluminum Co Of America,Magnesium removal from aluminum alloy scrap
    US3650730A,1968-03-21,1972-03-21,Alloys & Chem Corp,Purification of aluminium
    US3689048A,1971-03-05,1972-09-05,Air Liquide,Treatment of molten metal by injection of gas
    US3715112A,1970-08-04,1973-02-06,Alsacienne Atom,Means for treating a liquid metal and particularly aluminum
    US3732032A,1971-02-16,1973-05-08,Baggers Ltd,Centrifugal pumps
    US3737304A,1970-12-02,1973-06-05,Aluminum Co Of America,Process for treating molten aluminum
    US3737305A,1970-12-02,1973-06-05,Aluminum Co Of America,Treating molten aluminum
    US3743263A,1971-12-27,1973-07-03,Union Carbide Corp,Apparatus for refining molten aluminum
    US3743500A,1968-01-10,1973-07-03,Air Liquide,Non-polluting method and apparatus for purifying aluminum and aluminum-containing alloys
    US3753690A,1969-09-12,1973-08-21,British Aluminium Co Ltd,Treatment of liquid metal
    US3759635A,1972-03-16,1973-09-18,Kaiser Aluminium Chem Corp,Process and system for pumping molten metal
    US3759628A,1972-06-14,1973-09-18,Fmc Corp,Vortex pumps
    US3767382A,1971-11-04,1973-10-23,Aluminum Co Of America,Treatment of molten aluminum with an impeller
    US3776660A,1972-02-22,1973-12-04,Nl Industries Inc,Pump for molten salts and metals
    US3785632A,1969-03-17,1974-01-15,Rheinstahl Huettenwerke Ag,Apparatus for accelerating metallurgical reactions
    US3787143A,1971-03-16,1974-01-22,Alsacienne Atom,Immersion pump for pumping corrosive liquid metals
    SU416401A1,1972-12-08,1974-02-25,,
    US3799522A,1971-10-08,1974-03-26,British Aluminium Co Ltd,Apparatus for introducing gas into liquid metal
    US3799523A,1971-12-21,1974-03-26,Nippon Steel Corp,Molten metal stirring device with clamping means
    US3807708A,1972-06-19,1974-04-30,J Jones,Liquid-aerating pump
    US3814400A,1971-12-22,1974-06-04,Nippon Steel Corp,Impeller replacing device for molten metal stirring equipment
    US3824042A,1971-11-30,1974-07-16,Bp Chem Int Ltd,Submersible pump
    US3824028A,1968-11-07,1974-07-16,Punker Gmbh,Radial blower, especially for oil burners
    US3836280A,1972-10-17,1974-09-17,High Temperature Syst Inc,Molten metal pumps
    US3839019A,1972-09-18,1974-10-01,Aluminum Co Of America,Purification of aluminum with turbine blade agitation
    US3844972A,1958-10-24,1974-10-29,Atomic Energy Commission,Method for impregnation of graphite
    US3871872A,1973-05-30,1975-03-18,Union Carbide Corp,Method for promoting metallurgical reactions in molten metal
    US3873305A,1974-04-08,1975-03-25,Aluminum Co Of America,Method of melting particulate metal charge
    US3873073A,1973-06-25,1975-03-25,Pennsylvania Engineering Corp,Apparatus for processing molten metal
    US3881039A,1971-01-22,1975-04-29,Snam Progetti,Process for the treatment of amorphous carbon or graphite manufactured articles, for the purpose of improving their resistance to oxidation, solutions suitable for attaining such purpose and resulting product
    US3886992A,1971-05-28,1975-06-03,Rheinstahl Huettenwerke Ag,Method of treating metal melts with a purging gas during the process of continuous casting
    US3915694A,1972-09-05,1975-10-28,Nippon Kokan Kk,Process for desulphurization of molten pig iron
    US3915594A,1974-01-14,1975-10-28,Clifford A Nesseth,Manure storage pit pump
    US3935003A,1974-02-25,1976-01-27,Kaiser Aluminum & Chemical Corporation,Process for melting metal
    US3941588A,1974-02-11,1976-03-02,Foote Mineral Company,Compositions for alloying metal
    US3941589A,1975-02-13,1976-03-02,Amax Inc.,Abrasion-resistant refrigeration-hardenable white cast iron
    US3942473A,1975-01-21,1976-03-09,Columbia Cable & Electric Corporation,Apparatus for accreting copper
    JPS5112837B1,1973-05-21,1976-04-22,,
    US3954134A,1971-03-28,1976-05-04,Rheinstahl Huettenwerke Ag,Apparatus for treating metal melts with a purging gas during continuous casting
    US3958979A,1973-12-14,1976-05-25,Ethyl Corporation,Metallurgical process for purifying aluminum-silicon alloy
    US3958981A,1975-04-16,1976-05-25,Southwire Company,Process for degassing aluminum and aluminum alloys
    US3961778A,1973-05-30,1976-06-08,Groupement Pour Les Activites Atomiques Et Avancees,Installation for the treating of a molten metal
    US3966456A,1974-08-01,1976-06-29,Molten Metal Engineering Co.,Process of using olivine in a blast furnace
    US3967286A,1973-12-28,1976-06-29,Facit Aktiebolag,Ink supply arrangement for ink jet printers
    US3972709A,1973-06-04,1976-08-03,Southwire Company,Method for dispersing gas into a molten metal
    US3973871A,1973-10-26,1976-08-10,Ateliers De Constructions Electriques De Charlerol (Acec),Sump pump
    US3984234A,1975-05-19,1976-10-05,Aluminum Company Of America,Method and apparatus for circulating a molten media
    US3985000A,1974-11-13,1976-10-12,Helmut Hartz,Elastic joint component
    US3997336A,1975-12-12,1976-12-14,Aluminum Company Of America,Metal scrap melting system
    US4003560A,1975-05-27,1977-01-18,Groupement pour les Activities Atomiques et Advancees "GAAA",Gas-treatment plant for molten metal
    US4008884A,1976-06-17,1977-02-22,Alcan Research And Development Limited,Stirring molten metal
    US4018598A,1973-11-28,1977-04-19,The Steel Company Of Canada, Limited,Method for liquid mixing
    US4043146A,1974-07-27,1977-08-23,Motoren- Und Turbinen-Union Muenchen Gmbh M.A.N. Maybach Mercedes-Benz,Shaft coupling
    US4052199A,1975-07-21,1977-10-04,The Carborundum Company,Gas injection method
    US4055390A,1976-04-02,1977-10-25,Molten Metal Engineering Co.,Method and apparatus for preparing agglomerates suitable for use in a blast furnace
    US4063849A,1975-02-12,1977-12-20,Modianos Doan D,Non-clogging, centrifugal, coaxial discharge pump
    US4068965A,1976-11-08,1978-01-17,Craneveyor Corporation,Shaft coupling
    US4073606A,1975-11-06,1978-02-14,Eller J Marlin,Pumping installation
    US4091970A,1976-05-20,1978-05-30,Toshiba Kikai Kabushiki Kaisha,Pump with porus ceramic tube
    US4119141A,1977-05-12,1978-10-10,Thut Bruno H,Heat exchanger
    US4125146A,1973-08-07,1978-11-14,Ernst Muller,Continuous casting processes and apparatus
    US4126360A,1975-12-02,1978-11-21,Escher Wyss Limited,Francis-type hydraulic machine
    US4128415A,1977-12-09,1978-12-05,Aluminum Company Of America,Aluminum scrap reclamation
    US4144562A,1977-06-23,1979-03-13,Ncr Corporation,System and method for increasing microprocessor output data rate
    US4147474A,1976-12-28,1979-04-03,Norsk Hydro A.S,Method and system for transferring liquid media
    US4169584A,1977-07-18,1979-10-02,The Carborundum Company,Gas injection apparatus
    US4191486A,1978-09-06,1980-03-04,Union Carbide Corporation,Threaded connections
    US4192011A,1977-04-28,1980-03-04,Plessey Handel Und Investments Ag,Magnetic domain packaging
    US4213176A,1976-12-22,1980-07-15,Ncr Corporation,System and method for increasing the output data throughput of a computer
    US4213091A,1977-05-21,1980-07-15,Plessey Handel Und Investments Ag,Method and apparatus for testing a magnetic domain device
    US4213742A,1977-10-17,1980-07-22,Union Pump Company,Modified volute pump casing
    US4219882A,1977-12-29,1980-08-26,Plessey Handel Und Investments Ag,Magnetic domain devices
    SU773312A1,1978-01-06,1980-10-23,Усть-Каменогорский Ордена Ленина, Ордена Октябрьской Революции Свинцово- Цинковый Комбинат Им. В.И.Ленина,Axial pump for pumping liquid metals
    US4242039A,1977-11-22,1980-12-30,L'air Liquide, Societe Anonyme Pour L'etude Et L'exploitation Des Procedes Georges Claude,Pump impeller seals with spiral grooves
    US4244423A,1978-07-17,1981-01-13,Thut Bruno H,Heat exchanger
    US4286985A,1980-03-31,1981-09-01,Aluminum Company Of America,Vortex melting system
    US4305214A,1979-08-10,1981-12-15,Hurst George P,In-line centrifugal pump
    US4322245A,1980-01-09,1982-03-30,Claxton Raymond J,Method for submerging entraining, melting and circulating metal charge in molten media
    US4338062A,1980-04-14,1982-07-06,Buffalo Forge Company,Adjustable vortex pump
    US4347041A,1979-07-12,1982-08-31,Trw Inc.,Fuel supply apparatus
    US4351514A,1980-07-18,1982-09-28,Koch Fenton C,Apparatus for purifying molten metal
    US4355789A,1981-01-15,1982-10-26,Dolzhenkov Boris S,Gas pump for stirring molten metal
    US4356940A,1980-08-18,1982-11-02,Lester Engineering Company,Apparatus for dispensing measured amounts of molten metal
    US4360314A,1980-03-10,1982-11-23,The United States Of America As Represented By The United States Department Of Energy,Liquid metal pump
    US4370096A,1978-08-30,1983-01-25,Propeller Design Limited,Marine propeller
    US4372541A,1980-10-14,1983-02-08,Aluminum Pechiney,Apparatus for treating a bath of liquid metal by injecting gas
    US4375937A,1981-01-28,1983-03-08,Ingersoll-Rand Company,Roto-dynamic pump with a backflow recirculator
    JPS5848796A,1981-09-18,1983-03-22,Hitachi Ltd,Centrifugal impeller
    US4389159A,1979-11-29,1983-06-21,Oy E. Sarlin Ab,Centrifugal pump
    US4392888A,1982-01-07,1983-07-12,Aluminum Company Of America,Metal treatment system
    US4410299A,1980-01-16,1983-10-18,Ogura Glutch Co., Ltd.,Compressor having functions of discharge interruption and discharge control of pressurized gas
    US4419049A,1979-07-19,1983-12-06,Sgm Co., Inc.,Low noise centrifugal blower
    US4456424A,1981-03-05,1984-06-26,Toyo Denki Kogyosho Co., Ltd.,Underwater sand pump
    US4456974A,1979-12-07,1984-06-26,Plessey Overseas Limited,Magnetic bubble device
    US4470846A,1981-05-19,1984-09-11,Alcan International Limited,Removal of alkali metals and alkaline earth metals from molten aluminum
    US4474315A,1982-04-15,1984-10-02,Kennecott Corporation,Molten metal transfer device
    US4489475A,1982-06-28,1984-12-25,Emerson Electric Co.,Method of constructing a drive tensioning device
    US4496393A,1981-05-08,1985-01-29,George Fischer Limited,Immersion and vaporization chamber
    US4504392A,1981-04-23,1985-03-12,Groteke Daniel E,Apparatus for filtration of molten metal
    US4509979A,1984-01-26,1985-04-09,Modern Equipment Company,Method and apparatus for the treatment of iron with a reactant
    US4537624A,1984-03-05,1985-08-27,The Standard Oil Company (Ohio),Amorphous metal alloy powders and synthesis of same by solid state decomposition reactions
    US4537625A,1984-03-09,1985-08-27,The Standard Oil Company (Ohio),Amorphous metal alloy powders and synthesis of same by solid state chemical reduction reactions
    US4545887A,1983-09-06,1985-10-08,Arnesen Tore C,Electrode for electrostatic water treatment
    US4556419A,1983-10-21,1985-12-03,Showa Aluminum Corporation,Process for treating molten aluminum to remove hydrogen gas and non-metallic inclusions therefrom
    US4557766A,1984-03-05,1985-12-10,Standard Oil Company,Bulk amorphous metal alloy objects and process for making the same
    EP0168250A2,1984-07-10,1986-01-15,Stemcor Corporation,Light gauge metal scrap melting system
    US4586845A,1984-02-07,1986-05-06,Leslie Hartridge Limited,Means for use in connecting a drive coupling to a non-splined end of a pump drive member
    US4592700A,1983-03-10,1986-06-03,Ebara Corporation,Vortex pump
    US4593597A,1985-02-28,1986-06-10,Albrecht Ernest E,Page-turning apparatus
    US4594052A,1982-02-08,1986-06-10,A. Ahlstrom Osakeyhtio,Centrifugal pump for liquids containing solid material
    US4596510A,1981-04-04,1986-06-24,Klein, Schanzlin & Becker Aktiengesellschaft,Centrifugal pump for handling of liquid chlorine
    US4600222A,1985-02-13,1986-07-15,Waterman Industries,Apparatus and method for coupling polymer conduits to metallic bodies
    US4607825A,1984-07-27,1986-08-26,Aluminum Pechiney,Ladle for the chlorination of aluminium alloys, for removing magnesium
    US4609442A,1985-06-24,1986-09-02,The Standard Oil Company,Electrolysis of halide-containing solutions with amorphous metal alloys
    US4611790A,1984-03-23,1986-09-16,Showa Aluminum Corporation,Device for releasing and diffusing bubbles into liquid
    US4617232A,1982-04-15,1986-10-14,Kennecott Corporation,Corrosion and wear resistant graphite material
    US4634105A,1984-11-29,1987-01-06,Foseco International Limited,Rotary device for treating molten metal
    US4640666A,1982-10-11,1987-02-03,International Standard Electric Corporation,Centrifugal pump
    US4651806A,1984-09-24,1987-03-24,National Research Development Corporation,Heat exchanger with electrohydrodynamic effect
    US4655610A,1985-02-13,1987-04-07,International Business Machines Corporation,Vacuum impregnation of sintered materials with dry lubricant
    US4673434A,1985-11-12,1987-06-16,Foseco International Limited,Using a rotary device for treating molten metal
    US4682585A,1985-02-23,1987-07-28,Richard Wolf Gmbh,Optical system for an endoscope
    US4684281A,1985-08-26,1987-08-04,Cannondale Corporation,Bicycle shifter boss assembly
    US4685822A,1986-05-15,1987-08-11,Union Carbide Corporation,Strengthened graphite-metal threaded connection
    US4696703A,1985-07-15,1987-09-29,The Standard Oil Company,Corrosion resistant amorphous chromium alloy compositions
    US4701226A,1985-07-15,1987-10-20,The Standard Oil Company,Corrosion resistant amorphous chromium-metalloid alloy compositions
    US4702768A,1986-03-12,1987-10-27,Pre-Melt Systems, Inc.,Process and apparatus for introducing metal chips into a molten metal bath thereof
    US4714371A,1985-09-13,1987-12-22,Cuse Arthur R,System for the transmission of power
    US4717540A,1986-09-08,1988-01-05,Cominco Ltd.,Method and apparatus for dissolving nickel in molten zinc
    US4739974A,1985-09-23,1988-04-26,Stemcor Corporation,Mobile holding furnace having metering pump
    US4743428A,1986-08-06,1988-05-10,Cominco Ltd.,Method for agitating metals and producing alloys
    JPS63104773A,1986-10-22,1988-05-10,Kyocera Corp,Rotating body for molten metal
    US4747583A,1985-09-26,1988-05-31,Gordon Eliott B,Apparatus for melting metal particles
    US4767230A,1987-06-25,1988-08-30,Algonquin Co., Inc.,Shaft coupling
    US4770701A,1986-04-30,1988-09-13,The Standard Oil Company,Metal-ceramic composites and method of making
    US4786230A,1984-03-28,1988-11-22,Thut Bruno H,Dual volute molten metal pump and selective outlet discriminating means
    US4802656A,1986-09-22,1989-02-07,Aluminium Pechiney,Rotary blade-type apparatus for dissolving alloy elements and dispersing gas in an aluminum bath
    US4804168A,1986-03-05,1989-02-14,Showa Aluminum Corporation,Apparatus for treating molten metal
    US4810314A,1987-12-28,1989-03-07,The Standard Oil Company,Enhanced corrosion resistant amorphous metal alloy coatings
    US4822473A,1986-08-27,1989-04-18,Arnesen Tore C,Electrode for generating an electrostatic field
    US4834573A,1987-06-16,1989-05-30,Kato Hatsujo Kaisha, Ltd.,Cap fitting structure for shaft member
    US4842227A,1988-04-11,1989-06-27,Thermo King Corporation,Strain relief clamp
    US4844425A,1987-05-19,1989-07-04,Alumina S.p.A.,Apparatus for the on-line treatment of degassing and filtration of aluminum and its alloys
    US4851296A,1985-07-03,1989-07-25,The Standard Oil Company,Process for the production of multi-metallic amorphous alloy coatings on a substrate and product
    US4859413A,1987-12-04,1989-08-22,The Standard Oil Company,Compositionally graded amorphous metal alloys and process for the synthesis of same
    US4860819A,1985-12-13,1989-08-29,Inland Steel Company,Continuous casting tundish and assembly
    US4867638A,1987-03-19,1989-09-19,Albert Handtmann Elteka Gmbh & Co Kg,Split ring seal of a centrifugal pump
    GB2217784A,1988-03-19,1989-11-01,Papst Motoren Gmbh & Co Kg,Bearing arrangement for axial fan
    US4884786A,1988-08-23,1989-12-05,Gillespie & Powers, Inc.,Apparatus for generating a vortex in a melt
    US4898367A,1988-07-22,1990-02-06,The Stemcor Corporation,Dispersing gas into molten metal
    US4908060A,1988-02-24,1990-03-13,Foseco International Limited,Method for treating molten metal with a rotary device
    US4911726A,1988-09-13,1990-03-27,Rexnord Holdings Inc.,Fastener/retaining ring assembly
    US4923770A,1985-03-29,1990-05-08,The Standard Oil Company,Amorphous metal alloy compositions for reversible hydrogen storage and electrodes made therefrom
    US4930986A,1984-07-10,1990-06-05,The Carborundum Company,Apparatus for immersing solids into fluids and moving fluids in a linear direction
    US4931091A,1988-06-14,1990-06-05,Alcan International Limited,Treatment of molten light metals and apparatus
    US4940384A,1989-02-10,1990-07-10,The Carborundum Company,Molten metal pump with filter
    US4940214A,1988-08-23,1990-07-10,Gillespie & Powers, Inc.,Apparatus for generating a vortex in a melt
    US4954167A,1988-07-22,1990-09-04,Cooper Paul V,Dispersing gas into molten metal
    US4967827A,1982-05-20,1990-11-06,Cosworth Research And Development Limited,Method and apparatus for melting and casting metal
    US4973433A,1989-07-28,1990-11-27,The Carborundum Company,Apparatus for injecting gas into molten metal
    US4986736A,1989-01-19,1991-01-22,Ebara Corporation,Pump impeller
